"Código
CUOC","Ocupación
","Descripción Completa"
13210,"
                                        Directores y gerentes de industrias manufactureras
                                    ","Administrador acueducto. Administrador empresa de servicio público. Director aseguramiento de calidad. Director de planta de procesamiento de alimentos y bebidas. Director del área de diseño de modas. Gerente aseguramiento de calidad. Gerente de planta de tratamiento de aguas residuales. Gerente operaciones acueducto. Jefe de área de control de calidad. Jefe de planta de tratamiento de aguas y desechos"
13220,"
                                        Directores y gerentes de producción primaria (excepto agricultura)
                                    ","Planean, dirigen y coordinan las actividades de minería y explotación de canteras, perforación, producción y mantenimiento de pozos de petróleo y gas. Ya sea como directores de un departamento o como el gerente general de una empresa u organización que no tiene una estructura jerarquizada de directivos. Se pueden desempeñar en empresa de compañías mineras, canteras, empresas exploradoras de hidrocarburos, entre otros."
13230,"
                                        Directores y gerentes de empresas de construcción
                                    ","Gerente servicios de arquitectura. Jefe arquitecto"
13241,"
                                        Directores y gerentes de compras y adquisiciones
                                    ","Planean, organizan, dirigen y controlan las actividades de compras y adquisiciones de una empresa u organización; desarrollan e implementan políticas de compras. Ya sea como director de un departamento o como el gerente general de una empresa u organización que no cuenta con una estructura jerarquizada de directivos. Se pueden desempeñar en abastecimiento, distribución, entre otros."
13242,"
                                        Directores y gerentes de servicios de correo y mensajería
                                    ","Administrador de oficina de correos"
13243,"
                                        Directores y gerentes de transporte, distribución y logística
                                    ","Administrador aeropuerto. Director de operaciones de transporte aéreo. Gerente de aeropuerto. Gerente distribución almacenamiento y bodegaje. Gerente operaciones distribución almacenamiento y bodegaje. Jefe de control de tráfico aéreo. Jefe de sección de almacén y distribución"
13244,"
                                        Directores y gerentes de cadena de suministro
                                    ","Administrador bodega. Director de abastecimiento y distribución. Director de departamento de almacenamiento. Jefe de área de rotación y existencias"
13301,"
                                        Directores y gerentes de telecomunicaciones
                                    ","Gerente de aplicaciones"
13302,"
                                        Directores y gerentes de sistemas de información y procesamiento de datos
                                    ","Director de desarrollo de aplicaciones. Jefe de área sistemas. Jefe de departamento de análisis. Jefe de departamento de análisis (Head of analytics)"
13303,"
                                        Directores y gerentes de comunicaciones y audiovisuales
                                    ","Planean, dirigen y coordinan actividades de edición de teatro, cine, producción de discos, videos, medios de comunicación y a fines; ya sea como director de un departamento o como el gerente general de una empresa u organización que no tiene una estructura jerarquizada de directivos. Se pueden desempeñar en empresas de radio y televisión, compañías de cine, teatro, grabación, entre otros."
13410,"
                                        Directores y gerentes de servicios de cuidados infantiles
                                    ","Planean, dirigen, coordinan y evalúan la prestación de servicios de cuidados, protección y desarrollo integral de los niños en centros de atención integral y otros establecimientos que los acogen antes y después de la escuela, durante las vacaciones y durante el día. Se pueden desempeñar en centros de cuidado, protección y desarrollo integral infantiles, espacios habitacionales, jardines o guarderías, entre otros."
13420,"
                                        Directores y gerentes de servicios de salud
                                    ","Administrador de centro de salud. Administrador de departamento de laboratorio clínico. Administrador de hospital. Administrador médico. Director de área de urgencias. Jefe atención médica hospitalaria. Jefe de atención de salud comunitaria. Jefe de operaciones de atención médica hospitalaria"
13430,"
                                        Directores y gerentes de servicios de atención a personas mayores
                                    ","Planean, dirigen, coordinan y evalúan la prestación de servicios de atención a personas mayores y familias que requieren servicios relacionados con rutina y autocuidado de la salud física, apoyo emocional-espiritual, desarrollo de habilidades sociales y ocupacionales, así como necesidades de comunicación. Se pueden desempeñar en centros de atención domiciliaria para personas adultas mayores, centros residenciales para personas adultas mayores, geriátricos, centro de jubilados, entre otros."
13440,"
                                        Directores y gerentes de servicios de bienestar social, comunitario y correccional
                                    ","Planean, organizan, dirigen y controlan el desarrollo y administración de políticas sociales, programas diseñados para proteger y promover el bienestar de individuos y comunidades; ya sea como director de un departamento o como el gerente general de una empresa u organización que no cuenta con una estructura jerarquizada de directivos. Se pueden desempeñar en instituciones de detención y correccionales, departamentos de consejería, organizaciones no gubernamentales, entre otros."
13451,"
                                        Directores y gerentes de programas de política educativa
                                    ","Director investigación y análisis de política educativa"
13452,"
                                        Directores y administradores de educación superior y formación para el trabajo
                                    ","Planean, dirigen, coordinan y evalúan las actividades curriculares, académicas y de apoyo al proceso de educación superior y educación para el trabajo. Desarrollan los procesos y procedimientos relacionados con admisión, registro y actividades académicas. Se pueden desempeñar en universidades, centros de educación superior e institutos de formación profesional y formación para el trabajo, entre otros."
13453,"
                                        Directores y administradores de educación básica y media
                                    ","Planean, dirigen, coordinan y evalúan las actividades de profesores y otro personal de planteles de educación secundaria, básica primaria y preescolar. Se pueden desempeñar en establecimientos de educación públicos y privados, entre otros."
13460,"
                                        Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros
                                    ","Administrador oficina pensiones y cesantías. Gerente de agencia de seguros"
13491,"
                                        Directores y gerentes de archivo, biblioteca, museo y galería de arte
                                    ","Planean, organizan, dirigen y controlan las actividades del servicio de gestión documental, bibliotecas, museos, galerías de arte dentro de una institución o departamento de acuerdo con políticas internas y normativa vigente. Catalogan y conservan las colecciones de la biblioteca y suministran servicios de asesoría a los usuarios, generan contenidos, estructuran y participan en actividades de mercadeo, promoción y fomento a la lectura, desarrollan funciones administrativas vinculadas a procesos de recopilación y preservación del patrimonio documental institucional. Se pueden desempeñar en bibliotecas, museos, galerías de arte, departamentos de archivos, entre otros."
13492,"
                                        Directores y gerentes de servicios y procesos de negocio
                                    ","Planean, organizan, dirigen y controlan actividades involucradas en la prestación del servicio en el contexto de procesos de negocio, evalúan tendencias de la industria y riesgos aplicables al negocio, ya sea como director de un departamento o como el gerente general de una empresa u organización que no cuenta con una estructura jerarquizada de directivos. Se pueden desempeñar en empresas de consultoría, entre otros."
13499,"
                                        Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones
                                    ","Gerente agencia de empleo. Gerente de seguridad aérea. Gerente firma de abogados"
14110,"
                                        Directores y gerentes de servicios hoteleros y hospedaje
                                    ","Administrador de hogar estudiantil. Administrador de hotel. Administrador de motel. Administrador de pensión de alojamiento. Administrador de residencia estudiantil. Gerente de albergue juvenil. Gerente de servicio de alojamiento"
14120,"
                                        Gerentes y administradores de servicios de alimentos y restaurantes
                                    ","Planean, organizan, dirigen y supervisan actividades de establecimientos que ofrecen servicios de alimentos y bebidas; coordinan actividades del personal y cumplen con las normas sanitarias y de higiene. Se pueden desempeñar en establecimientos de servicio de alimentos y bebidas, restaurantes, hospitales, hoteles, clubes, entre otros."
14200,"
                                        Gerentes de comercios al por mayor y al por menor
                                    ","Administrador centro comercial. Administrador de almacén. Administrador de comercio al por menor. Administrador de droguería. Administrador de estación servicio. Administrador de negocio comercio al por menor. Administrador de punto de venta. Administrador de sala de Belleza. Administrador de sucursal de almacenes de cadena. Administrador de supermercado. Administrador general de centro comercial. Anticuarista. Comerciante de antigüedades. Gerente comercio minorista almacenes de cadena. Gerente comercio minorista autoservicio. Gerente de almacén por departamentos. Gerente general de tienda de autoservicio. Jefe de sección de almacén de comercio. Marchante de arte"
14311,"
                                        Directores y gerentes de empresas de música, artes escénicas y cultura
                                    ","Planean, organizan, dirigen y controlan actividades y producciones de artes escénicas, culturales, música, cine, teatro, actuaciones de bandas y orquestas entre otros. Están al día con las nuevas tendencias y avances en las artes creativas y culturales. Se pueden desempeñar en compañías de cine, teatro, sector público, entre otros."
14312,"
                                        Directores y gerentes de esparcimiento y deportes
                                    ","Administrador de centro vacacional. Administrador de gimnasio. Administrador deportivo. Director de departamento de actividades recreativas. Director programa de actividad física. Gerente de parque de atracciones"
14391,"
                                        Gerentes y administradores de propiedad horizontal
                                    ","Planifican, dirigen, representan y coordinan la prestación de servicios de administración y gestión de la propiedad horizontal, contratan y supervisan servicios de seguridad, mantenimiento, aseo, entre otros de acuerdo con normas técnicas y legales. Se pueden desempeñar empresas de administración de propiedad horizontal, entre otros."
14399,"
                                        Otros gerentes y administradores de servicios no clasificados en otras ocupaciones
                                    ","Planean, organizan, dirigen y controlan las actividades de establecimientos que proveen servicios no clasificados anteriormente como son los gerentes de agencias de viajes, centros de conferencias, gerente escuela de conducción, centros de contacto y centros comerciales. Se pueden desempeñar en empresas de aeropuertos, puertos, centros comerciales, de convenciones, escuelas de conducción, modelaje, entre otros."
21110,"
                                        Físicos y astrónomos
                                    ","Dirigen, realizan investigaciones teóricas y aplicadas, desarrollan conceptos, instrumentos, software y métodos operacionales relativos a la materia, espacio, tiempo, energía, fuerzas y campos, y la interrelación entre estos fenómenos físicos en actividades como: la electrónica, comunicaciones, generación y distribución de energía, aerodinámica, óptica, rayos láser, medicina y salud, y la astronomía. Se pueden desempeñar en empresas de fabricación eléctrica, electrónica, universidades, compañías de telecomunicaciones, laboratorios, firmas consultoras y de investigación científica, entre otros."
21120,"
                                        Meteorólogos
                                    ","Analizan, preparan pronósticos meteorológicos y dirigen investigaciones relacionadas con el estado del tiempo, cambios y fenómenos climáticos y atmosféricos en su composición, estructura y dinámica. Se pueden desempeñar en entidades del gobierno, empresas de aviación, instituciones meteorológicas, medios de comunicación, entre otros."
21130,"
                                        Químicos
                                    ","Analista control de calidad para laboratorio. Analista de riesgo químico. Analista químico. Analista químico de suelos. Analista químico profesional. Asesor químico. Desarrollador químico analítico. Químico ambiental. Químico analista. Químico analítica. Químico de agricultura. Químico de alimentos. Químico medio ambiente"
21141,"
                                        Geólogos, geofísicos y geoquímicos
                                    ","Dirigen y participan en estudios, perfeccionan y desarrollan conceptos, teorías y métodos operacionales relacionados con las estructuras, composición, evolución y constitución física del globo terrestre, incluidas la atmósfera e hidrosfera, localizan e identifican los recursos de hidrocarburos, minerales y aguas subterráneas; apoyan en la planeación e implementan programas de exploración y extracción de hidrocarburos y minerales, evalúan el desarrollo de proyectos de eliminación y disposición de residuos y sus efectos en el medio ambiente. Se pueden desempeñar en empresas petroleras y mineras, firmas geofísicas y de ingeniería e instituciones del gobierno y educativas, entre otros."
21142,"
                                        Gemólogos
                                    ","Gemólogo asesor en calidad. Gemólogo especialista avaluador de gemas"
21200,"
                                        Matemáticos, actuarios y estadísticos
                                    ","Investigan, perfeccionan o desarrollan conceptos, teorías y métodos operacionales y técnicas matemáticas, actuariales y estadísticas, y asesoran o participan en su aplicación práctica en campos como la ingeniería, empresariales y sociales, Entre otros ciencias, actualizan y mejoran la metodología estadística relacionada con la recolección, organización, análisis e interpretación de datos expresados en forma cuantitativa; aplican técnicas para resolver problemas en campos científicos; trabajan en su aplicación práctica o en el asesoramiento pertinente en la medicina, la ingeniería, la agricultura, la industria, la banca, el comercio y en otros campos técnicos; aplican los conocimientos en matemáticas, estadística y asuntos financieros al establecimiento y gestión de sistemas de pensiones y de seguros de vida, enfermedad, accidentes y demás análisis de riesgo. Se pueden desempeñar en universidades, bancos y fiduciarias, compañías de seguros, firmas consultoras y de ingeniería, entre otros."
21310,"
                                        Biólogos, botánicos, zoólogos y afines
                                    ","Estudian, participan y conducen investigaciones de los organismos vivos, sus interacciones entre sí y con el medio ambiente y aplican estos conocimientos a la solución de los problemas de la salud humana, el medio ambiente, desarrollo de nuevas prácticas y productos. Trabajan en diversos campos como la botánica, zoología, ecología, biología marina, genética, inmunología, farmacología, toxicología, fisiología, bacteriología y virología, los cuales son aplicables especialmente en áreas como la medicina, agricultura, silvicultura y ganadería. Se pueden desempeñar en laboratorios, bancos de la salud, empresas de consultoría ambiental, empresas de servicios, firmas químicas, farmacéuticas, genética, veterinaria, biotécnicas, empresas de alimentos, suelos, instituciones educativas y de salud, entre otros."
21321,"
                                        Agrónomos, agrícolas, pecuarios y zootecnistas
                                    ","Investigan, estudian y suministran asesoría, asistencia, consultoría y técnicas sobre diversos aspectos de la planificación de la producción, explotación, gestión de las unidades productivas, de tecnología y de recursos agropecuarios y ambientales, cultivos, manejo de praderas, fertilización, cosecha, postcosecha, agroindustria, manejo integrado del suelo, prevención de plagas, enfermedades y arvenses; nutrición, mejoramiento de la producción, comercialización de los productos y derivados, entre otras prácticas de manejo. Se pueden desempeñar en fincas, empresas rurales, agroindustrias, firmas de consultoría, entidades del gobierno para asistir a la comunidad agropecuaria, empresas agrícolas, entre otros."
21322,"
                                        Silvicultores y forestales
                                    ","Arborista. Asesor de producción forestal. Asesor de silvicultura. Asesor forestal. Experto en árboles"
21323,"
                                        Extensionistas agropecuarios
                                    ","Diagnostican, recomiendan, actualizan, capacitan, facilitan, asisten y proporcionan acompañamiento en la generación de competencias a los productores rurales, para que incorporen en sus actividades productivas prácticas, productos tecnológicos, tecnologías, conocimientos y comportamientos que beneficien el desempeño agropecuario, el entorno, la competitividad y sostenibilidad en pro de la seguridad alimentaria; propician la adopción de nuevas prácticas y conocimientos en la mejora de su desempeño. Se pueden desempeñar en fincas, empresas prestadoras del servicio de extensión agropecuaria, entidades del gobierno y organismos internacionales, organizaciones para asistir a la comunidad agropecuaria, empresas agrícolas, entre otros."
21331,"
                                        Profesionales ambientales y ecologistas
                                    ","Estudian, formulan, supervisan, orientan, administran y evalúan los efectos sobre el medio ambiente que ejercen las actividades humanas como la contaminación del aire, agua y ruido, la contaminación del suelo, el cambio climático, la generación de residuos tóxicos y el agotamiento y la degradación de los recursos naturales; ejercen autoridad, representan e influencian en el sistema ambiental mediante el desarrollo de planes y políticas que buscan soluciones para proteger, conservar, restaurar, minimizar y prevenir mayores daños al medio ambiente. Se pueden desempeñar en entidades gubernamentales, organizaciones públicas y privadas, comunidades y entes territoriales, firmas de consultoría, investigación, entre otros."
21332,"
                                        Profesionales en gestión de riesgo de desastres
                                    ","Analista de gestión del riesgo de desastres. Asesor en gestión de riesgo de desastres. Especialista en análisis de riesgos de desastres"
21410,"
                                        Ingenieros industriales y de producción
                                    ","Asesor de organización y métodos de producción. Ingeniero administrativo. Ingeniero asesor de organización industrial"
21420,"
                                        Ingenieros civiles
                                    ","Ingeniero civil de construcción administración de obras civiles. Ingeniero civil de construcción de aeropuertos. Ingeniero civil de construcción de vías y aeropuertos. Ingeniero civil de vías y aeropuertos. Ingeniero de construcción administración de obras civiles. Ingeniero de recursos hídricos y gestión de acueductos"
21430,"
                                        Ingenieros medioambientales
                                    ","Analista ambiental. Analista de impacto ambiental. Analista de política energética. Analista de políticas de recursos naturales. Consultor en control de la contaminación del aire. Consultor en remediación ambiental. Especialista en recuperación ambiental. Ingeniero ambiental. Ingeniero ambiental y de saneamiento. Ingeniero de control de la contaminación del aire. Ingeniero de procesamiento de aguas residuales. Ingeniero de recursos naturales y medio ambiente. Ingeniero de saneamiento y desarrollo ambiental. Ingeniero de saneamiento y salud ambiental. Planificador del medio ambiente"
21441,"
                                        Ingenieros mecánicos
                                    ","Diseñador de motores de automóviles. Ingeniero automotriz. Ingeniero calefacción ventilación y aire acondicionado. Ingeniero de aire acondicionado. Ingeniero de máquinas agrícolas. Ingeniero de refrigeración y aire acondicionado. Ingeniero mecánico automotriz. Ingeniero mecánico calefacción ventilación y aire acondicionado. Ingeniero mecánico de acústica. Ingeniero mecánico de aire acondicionado. Ingeniero mecánico de refrigeración y aire acondicionado. Tecnólogo de mecánica automotriz"
21442,"
                                        Ingenieros navales
                                    ","Arquitecto de construcciones navales. Arquitecto marino. Arquitecto naval"
21443,"
                                        Ingenieros aeronáuticos
                                    ","Investigan, asesoran, diseñan y desarrollan directamente todo tipo de aparatos que puedan volar, aeronaves, misiles, satélites, radares, vehículos espaciales y generación de energía; asesoran, evalúan y dirigen su fabricación, instalación, funcionamiento, mantenimiento y reparación o estudian y asesoran sobre aspectos mecánicos y aerodinámicos de determinados materiales, productos o procesos; en ocasiones se desplazan a laboratorios o hangares, para probar o inspeccionar las aeronaves. Se pueden desempeñar en institutos e instituciones científicas o públicas, de generación de energía, industria de aviación, transporte aéreo, entre otros."
21450,"
                                        Ingenieros químicos
                                    ","Ingeniero de alimentos. Ingeniero de procesamiento de alimentos. Ingeniero químico de alimentos y bebidas. Ingeniero químico de medio ambiente. Tecnólogo de alimentos"
21461,"
                                        Ingenieros de minas
                                    ","Ingeniero de minas de minería aurífera aluvial. Ingeniero de minería a cielo abierto"
21462,"
                                        Ingenieros metalúrgicos
                                    ","Ingeniero de producción y afino de metales. Ingeniero metalúrgico de producción y afino de metales"
21463,"
                                        Ingenieros de petróleo y gas
                                    ","Planean, diseñan, desarrollan, implementan, optimizan, supervisan y conducen estudios, proyectos e investigaciones relacionados con la exploración, explotación, perforación, aprestamiento y prueba, producción y mantenimiento de los pozos de petróleo y gas, estiman el potencial de reservas y producción e implementan sistemas de control integral de la calidad en los procesos de perforación y explotación. Se pueden desempeñar en compañías petroleras, consultoras, exploradoras privadas o gubernamentales e instituciones de investigación, entre otros."
21491,"
                                        Ingenieros de materiales
                                    ","Ingeniero de artefactos explosivos"
21492,"
                                        Ingenieros biomédicos
                                    ","Diseñan, desarrollan, gestionan, evalúan, investigan, vigilan y regulan las tecnologías en salud, materiales, dispositivos y sistemas biomédicos para la prevención, diagnóstico y tratamiento de enfermedad, para la prestación de asistencia sanitaria, la atención y rehabilitación de pacientes; aplicar principios eléctricos, mecánicos, ópticos, y otros propios de la ingeniería al entender, modificar o controlar sistemas biológicos, así como diseñar y desarrollar dispositivos que puedan monitorear las funciones fisiológicas. Se pueden desempeñar en empresas de consultoría, desarrollo, fabricación, servicio, soporte e integración de dispositivos médicos, clínicas, hospitales, laboratorios, entre otros."
21499,"
                                        Ingenieros no clasificados en otras ocupaciones
                                    ","Analista de sistemas excepto computadores. Ingeniero agroindustrial. Ingeniero de seguridad industrial y ambiental. Ingeniero seguridad industrial higiene y gestión ambiental"
21510,"
                                        Ingenieros electricistas
                                    ","Investigan, analizan, asesoran, diseñan, modelan, administran, planean, seleccionan y vigilan la construcción, funcionamiento, mantenimiento, reparación, prueba de sistemas eléctricos y de producción, generación, transmisión, distribución y transporte de energía eléctrica, componentes, motores, equipos eléctricos e instrumentos de medición de variables eléctricas; estudian y asesoran sobre aspectos tecnológicos de los materiales, productos y procesos propios de la ingeniería eléctrica. Se pueden desempeñar en empresas de servicio de energía eléctrica, de comunicaciones, fabricantes de equipos eléctricos, firmas de consultoría e industrias de transporte y procesamiento, del sector público y privado, entre otros."
21521,"
                                        Ingenieros electrónicos
                                    ","Investigan, diseñan, operan y dirigen los procesos de construcción, ensamble, funcionamiento, mantenimiento, reparación de equipos y sistemas electrónicos en las áreas de comunicación, control, instrumentación, potencia, entre otras; adicionalmente estudian, analizan y asesoran sobre aspectos tecnológicos de materiales, productos y procesos propios de la ingeniería electrónica. Se pueden desempeñar en empresas de consultoría, desarrollo, fabricación, servicio, soporte e integración de dispositivos y equipos electrónicos, del sector público y privado, entre otros."
21522,"
                                        Ingenieros de automatización e instrumentación
                                    ","Diseñan, investigan, dirigen, implementan, gestionan e integran sistemas de instrumentación y automatización de máquinas, equipos y procesos, asesoran sobre aspectos tecnológicos y el mantenimiento de los mismos. Se pueden desempeñar en empresas de ingeniería, servicios, consultoría, procesos industriales, industrias de manufactura, entre otros."
21531,"
                                        Ingenieros de telecomunicaciones
                                    ","Analista de sistemas en telecomunicaciones. Arquitecto de infraestructura en telecomunicaciones"
21532,"
                                        Ingenieros y productores de audio y sonido
                                    ","Coordinan y controlan la preproducción, producción, edición y acabado final de proyectos de grabación de audio, mediante el manejo, modificación y manipulación del sonido de acuerdo a requerimientos, crean sistemas de audio y estética sonora en producciones interactivas, audiovisuales, películas, videojuegos, series, entre otros; realizan el diseño y control de los montajes de sonido en vivo para conciertos y eventos, apoyan en el diseño arquitectónico y acústico de espacios para sistemas sonoros. Se pueden desempeñar en estudios de grabación, festivales de música, disqueras, artistas independientes, agencias de booking, productoras de televisión, entre otros."
21610,"
                                        Arquitectos
                                    ","Diseñan, conceptualizan, asesoran, planean, dirigen, administran, gestionan, controlan, desarrollan, vigilan y evalúan proyectos arquitectónicos de construcción, renovación, reconstrucción, adecuación y mantenimiento de viviendas, equipamientos, espacios públicos, edificaciones comerciales, industriales, institucionales, residenciales, recreativos y proyectos urbanísticos, teniendo en cuenta variables estéticas, tecnológicas, sociales, medioambientales, urbanas, rurales, económicas y de gestión. Se pueden desempeñar en firmas de arquitectura, construcción, consultoría del sector público y privado, entre otros."
21620,"
                                        Arquitectos paisajistas
                                    ","Conceptualizan, planean, desarrollan, diseñan, gestionan y asesoran intervenciones a paisajes naturales y urbanos, espacios abiertos para proyectos tales como parques, centros de enseñanza, instituciones, vías de circulación, y zonas exteriores de sitios comerciales, industriales y residenciales. Así mismo, planean y controlan su construcción, mantenimiento y rehabilitación. Se pueden desempeñar en firmas de arquitectura y consultoría del sector público y privado, entre otros."
21631,"
                                        Diseñadores industriales y de productos
                                    ","Definen, conceptualizan, desarrollan, producen y diseñan soluciones integrales, de objetos, moldes, accesorios, entre otros productos industriales de uso y consumo, para la fabricación y producción artesanal, manufacturera e industrial, en serie, por lotes o individuales. precisando la creación de valor para las partes interesadas.  Se pueden desempeñar en industrias manufactureras, firmas de diseño, empresas de servicios, entre otros."
21632,"
                                        Diseñadores de vestuario y moda
                                    ","Diseñador de accesorios de vestuario. Diseñador de vestuario artístico y escénico"
21633,"
                                        Diseñadores de espacios
                                    ","Diseñador acústico"
21634,"
                                        Diseñadores de servicios
                                    ","Analista de contextos y tendencias de diseño de servicios. Analista de mercado para el diseño de servicios. Diseñador de servicios alimentarios. Diseñador del servicio de atención al cliente"
